                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9518,                 3.7166,                 1.6973,                  0.003,                    0.9,                0.25338,                0.12362,                 1.4229,                 3.4849,                 1.4298,                0.00038,                0.00038,                0.00038
                      2,                 1.7322,                 2.7186,                 1.4673,                  0.003,                    0.9,                0.38789,                0.18836,                 1.5179,                 3.3507,                 1.3954,             0.00077035,             0.00077035,             0.00077035
                      3,                 1.6101,                 2.4654,                 1.4086,                0.00333,                      1,                0.26496,                0.06836,                 1.7029,                 3.4177,                 1.4932,              0.0011508,              0.0011508,              0.0011508
                      4,                 1.6212,                 2.2265,                 1.4302,                0.00333,                      1,                0.22063,                0.07248,                 1.7365,                 3.5051,                 1.5302,              0.0015213,              0.0015213,              0.0015213
                      5,                 1.6325,                 2.0869,                 1.4485,                0.64215,                0.27058,                0.34561,                0.13268,                  1.885,                 3.1455,                  1.591,               0.001882,               0.001882,               0.001882
                      6,                 1.6553,                 2.2927,                 1.4917,                0.28462,                   0.25,                 0.1812,                0.02802,                 1.9197,                 3.3122,                 1.6784,              0.0018763,              0.0018763,              0.0018763
                      7,                 1.6241,                 2.2441,                 1.5084,                0.52261,                   0.65,                0.51148,                0.20361,                 1.8489,                 2.5034,                 1.6528,              0.0018515,              0.0018515,              0.0018515
                      8,                 1.5426,                 2.0146,                 1.4081,                 0.6581,                0.57815,                0.52218,                0.25246,                 1.6868,                 2.1969,                 1.6193,              0.0018267,              0.0018267,              0.0018267
                      9,                 1.4966,                 1.9709,                 1.3882,                0.14848,                 0.4797,                0.23752,                0.11044,                 1.7411,                 3.2081,                 1.5943,               0.001802,               0.001802,               0.001802
                     10,                  1.604,                 1.9385,                 1.3421,                0.55167,                0.73864,                0.64039,                  0.245,                 1.7334,                 2.2439,                 1.5948,              0.0017772,              0.0017772,              0.0017772
